"","code_insee","code_pat"
"5166","15256","19"
"5167","15257","20"
"5169","15259","18"
"5172","15262","18"
"5173","15263","19"
"5176","15266","20"
"5177","15267","20"
"8927","26001","24"
"8927.1","26001","25"
"8928","26002","24"
"8929","26003","24"
"8929.1","26003","27"
"8930","26004","23"
"8930.1","26004","24"
"8931","26005","24"
"8931.1","26005","26"
"8932","26006","24"
"8932.1","26006","28"
"8933","26007","24"
"8933.1","26007","28"
"8934","26008","24"
"8934.1","26008","26"
"8935","26009","24"
"8936","26010","24"
"8937","26011","24"
"8937.1","26011","29"
"8938","26012","21"
"8938.1","26012","24"
"8938.2","26012","25"
"8939","26013","21"
"8939.1","26013","24"
"8940","26014","24"
"8940.1","26014","12"
"8941","26015","24"
"8941.1","26015","29"
"8942","26016","21"
"8942.1","26016","24"
"8943","26017","24"
"8943.1","26017","25"
"8944","26018","24"
"8945","26019","24"
"8945.1","26019","29"
"8946","26020","24"
"8946.1","26020","28"
"8947","26021","24"
"8947.1","26021","28"
"8948","26022","21"
"8948.1","26022","24"
"8949","26023","23"
"8949.1","26023","24"
"8950","26024","23"
"8950.1","26024","24"
"8951","26025","24"
"8951.1","26025","25"
"8952","26026","21"
"8952.1","26026","24"
"8953","26027","24"
"8953.1","26027","25"
"8954","26028","24"
"8954.1","26028","12"
"8955","26030","24"
"8955.1","26030","25"
"8956","26031","24"
"8956.1","26031","26"
"8957","26032","23"
"8957.1","26032","24"
"8958","26033","24"
"8958.1","26033","30"
"8959","26034","23"
"8959.1","26034","24"
"8960","26035","31"
"8960.1","26035","24"
"8960.2","26035","28"
"8961","26036","24"
"8961.1","26036","25"
"8962","26037","23"
"8962.1","26037","24"
"8963","26038","24"
"8963.1","26038","12"
"8964","26039","23"
"8964.1","26039","24"
"8965","26040","24"
"8965.1","26040","25"
"8966","26041","24"
"8967","26042","23"
"8967.1","26042","24"
"8968","26043","24"
"8969","26045","24"
"8969.1","26045","27"
"8970","26046","24"
"8971","26047","24"
"8971.1","26047","25"
"8972","26048","24"
"8973","26049","23"
"8973.1","26049","24"
"8974","26050","21"
"8974.1","26050","24"
"8975","26051","24"
"8975.1","26051","27"
"8976","26052","24"
"8976.1","26052","26"
"8977","26054","24"
"8977.1","26054","30"
"8978","26055","24"
"8978.1","26055","25"
"8979","26056","24"
"8979.1","26056","27"
"8980","26057","23"
"8980.1","26057","24"
"8981","26058","23"
"8981.1","26058","24"
"8982","26059","31"
"8982.1","26059","22"
"8982.2","26059","24"
"8983","26060","24"
"8983.1","26060","27"
"8984","26061","24"
"8984.1","26061","12"
"8985","26062","24"
"8985.1","26062","25"
"8986","26063","21"
"8986.1","26063","24"
"8987","26064","23"
"8987.1","26064","24"
"8988","26065","24"
"8988.1","26065","28"
"8989","26066","31"
"8989.1","26066","22"
"8989.2","26066","24"
"8990","26067","24"
"8990.1","26067","25"
"8991","26068","23"
"8991.1","26068","24"
"8992","26069","31"
"8992.1","26069","24"
"8992.2","26069","25"
"8993","26070","24"
"8994","26071","24"
"8994.1","26071","12"
"8995","26072","24"
"8995.1","26072","12"
"8996","26073","24"
"8997","26074","31"
"8997.1","26074","22"
"8997.2","26074","24"
"8998","26075","21"
"8998.1","26075","24"
"8999","26076","24"
"8999.1","26076","25"
"9000","26077","24"
"9000.1","26077","12"
"9001","26078","24"
"9001.1","26078","26"
"9002","26079","23"
"9002.1","26079","24"
"9003","26080","24"
"9003.1","26080","29"
"9004","26081","23"
"9004.1","26081","24"
"9005","26082","21"
"9005.1","26082","24"
"9006","26083","24"
"9007","26084","23"
"9007.1","26084","24"
"9008","26085","24"
"9008.1","26085","26"
"9009","26086","31"
"9009.1","26086","24"
"9009.2","26086","25"
"9010","26087","23"
"9010.1","26087","24"
"9011","26088","23"
"9011.1","26088","24"
"9012","26089","24"
"9013","26090","24"
"9013.1","26090","29"
"9014","26091","24"
"9015","26092","24"
"9015.1","26092","12"
"9016","26093","24"
"9016.1","26093","30"
"9017","26094","24"
"9018","26095","24"
"9018.1","26095","26"
"9019","26096","23"
"9019.1","26096","24"
"9020","26097","24"
"9020.1","26097","28"
"9021","26098","24"
"9021.1","26098","28"
"9022","26099","24"
"9023","26100","31"
"9023.1","26100","23"
"9023.2","26100","24"
"9024","26101","24"
"9024.1","26101","27"
"9025","26102","24"
"9025.1","26102","26"
"9026","26103","24"
"9027","26104","24"
"9028","26105","21"
"9028.1","26105","24"
"9029","26106","24"
"9029.1","26106","26"
"9030","26107","23"
"9030.1","26107","24"
"9031","26108","24"
"9031.1","26108","29"
"9032","26110","24"
"9032.1","26110","12"
"9033","26111","24"
"9033.1","26111","27"
"9034","26112","21"
"9034.1","26112","24"
"9035","26113","31"
"9035.1","26113","24"
"9035.2","26113","25"
"9036","26114","24"
"9036.1","26114","27"
"9037","26115","24"
"9037.1","26115","28"
"9038","26116","24"
"9038.1","26116","30"
"9039","26117","31"
"9039.1","26117","22"
"9039.2","26117","24"
"9040","26118","24"
"9041","26119","24"
"9041.1","26119","12"
"9042","26121","24"
"9042.1","26121","26"
"9043","26122","24"
"9043.1","26122","29"
"9044","26123","24"
"9044.1","26123","25"
"9045","26124","23"
"9045.1","26124","24"
"9046","26125","24"
"9046.1","26125","28"
"9047","26126","21"
